,Unnamed: 0,image_A_url,image_B_url,image_C_url,target,utterance,utterance_post
381,381,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/405e760fb406d96c2cd3f16bd931920d/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/9ef7ccb91a25dc988cc413950b617e8f/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/58e32cefd2f0ca13e938fdd9451c3206/image_p020_t337_r005.png,"[0, 0, 1]",Lamp with thinnest pedestal and dual shade.,lamp with thinnest pedestal and dual shade
382,382,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2848ad36017ecc69b4169e4cad9bb63a/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/587b4419a39cc088ccbc9e602dbf6a4a/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2161683c44a7dc356bd865f153842b49/image_p020_t337_r005.png,"[0, 0, 1]",A lamp with a square base and a square lamp shade.,a lamp with a square base and a square lamp shade
383,383,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3cca977e9e6ae9e181a172d69c52a28a/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/a5b394e2c98f6233636c7e486232cac1/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/23040992da19679aaa7cb30470f3273c/image_p020_t337_r005.png,"[0, 0, 1]",Base comprised of multiple triangle wedges,base comprised of multiple triangle wedges
384,384,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/356224e2ce466b551218479e9cbf7bda/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/71c9e25ec4fe08cbf7454c09d6230a4d/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/18ed152bad2c123b4b3c42e318f3affc/image_p020_t337_r005.png,"[0, 0, 1]",The one with the round lamp shade,the one with the round lamp shade
385,385,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2af78c0b040634e5881cd5e2fd8f0f3b/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/e2e7f45670fc5e369a6c869309041adb/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/99ab3dce10653cb7f4525a0066419a00/image_p020_t337_r005.png,"[0, 0, 1]",Lantern type light. For camping.,lantern type light for camping
386,386,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/13daa0657f5c3e32cb0c0d433974e32b/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/ebdc97f5fa29b1dae6597d391ab6fcc1/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3a0719c32c45c16f96791035e86a30f4/image_p020_t337_r005.png,"[0, 0, 1]","Target looks like a traditional desk lamp, with a circle base. The body looks candy cane-shaped",target looks like a traditional desk lamp with a circle base the body looks candy caneshaped
387,387,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3768d9037d103d9630a24fed263415f3/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/ba397aa90c4af6ec98d5fc0473d00a1c/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/c25cc72cd06852e75bbea6ee257e41cc/image_p020_t337_r005.png,"[0, 0, 1]",looks like a bowling pin,looks like a bowling pin
388,388,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/387429f609793f9dba5342d638d0c267/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/e5fa327c14553b11e589b08489d157d/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/e6d62a37e187bde599284d844aba7576/image_p020_t337_r005.png,"[0, 0, 1]","This lamp has five different lights, each one having its own curved (and likely individually bendable) neck.",this lamp has five different lights each one having its own curved and likely individually bendable neck
389,389,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/12e8d8176f2bd111978e8f21c8f49a92/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/60697ef538d1372f5bc104fbace43d56/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/caa8985efa72ea528d6a77b750ad3e43/image_p020_t337_r005.png,"[0, 0, 1]",The solid one.,the solid one
390,390,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/374ee0d01fb25ecc9bad7d7f6ef7bb21/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/e1916a904163748e8cc413950b617e8f/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/6dcbc7efc9369de386a5dcc6ebde687f/image_p020_t337_r005.png,"[0, 0, 1]",desk lamp,desk lamp
391,391,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1ea51a962ebd04f5775b45d31226d2b3/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/8232dc35ac9ccfb016a2b5862518c93/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/a9ed31fba7eacd42f51f77a6d7299806/image_p020_t337_r005.png,"[0, 0, 1]",desk lamp with two tiered base,desk lamp with two tiered base
392,392,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3b90765f78db34cdb827dc66c75bf2d5/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/40bbb4b123d9df2028c187222995b2b5/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/ff07372af062502af47e57eb62ec59ec/image_p020_t337_r005.png,"[0, 0, 1]",A short lamp with a base,a short lamp with a base
393,393,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/7527ef1898765c09fcb8d8c6d4df8143/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/c0f67a9a45cac532fcb8d8c6d4df8143/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1dc135b611b2f4b2fcb8d8c6d4df8143/image_p020_t337_r005.png,"[0, 0, 1]",Disk extends down from pole with largest circle base.,disk extends down from pole with largest circle base
394,394,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1bb78fe58e75596d9f42325587eab087/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3977cc8807304dfc5adb3ef1dbe9e3b3/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3f6e9d27bf0e972b9f42325587eab087/image_p020_t337_r005.png,"[0, 0, 1]",Choose the ornate lamp that you can't see the sphere in the center.,choose the ornate lamp that you cant see the sphere in the center
395,395,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/17fb3b85fb6bf1d74888a07f79e95b66/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/66cf69a98ff895e2b55fde51a411949f/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/eedd40c0191a90a5cbde89e0c48a01bf/image_p020_t337_r005.png,"[0, 0, 1]","Floor lamp with round base, single thick bar, and single round light fixture that appears to be adjustable.  The power cord is clearly visible.",floor lamp with round base single thick bar and single round light fixture that appears to be adjustable  the power cord is clearly visible
396,396,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/22ca1d5fbd8e6eac7b79156a61ad4c01/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/ac2a766efbe869cdf51f77a6d7299806/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2ab4c7882329710f29a42a0444436860/image_p020_t337_r005.png,"[0, 0, 1]",Choose the lamp that is NOT C-shaped.,choose the lamp that is not cshaped
397,397,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/390bc0018f132788fcb8d8c6d4df8143/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/f64e567b44e550c0fcb8d8c6d4df8143/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/ae50216235a96cffcb8d8c6d4df8143/image_p020_t337_r005.png,"[0, 0, 1]",The lamp's body is nine vertical bars with no enclosure around them.,the lamps body is nine vertical bars with no enclosure around them
398,398,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/a4f257a3eb6c5c37f716a9f638b146ab/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/da5db67a2385d5e8da9baff5f5368802/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/200fe239e1eac6a2651636b7e802cd3e/image_p020_t337_r005.png,"[0, 0, 1]",The target is a square with three balls hanging underneath on their own cables.,the target is a square with three balls hanging underneath on their own cables
399,399,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/845542d0f578a9db1ec48bc3c478566d/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/cd7bda99f9797d8b1878e92fa20d38a6/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1917888a2b6901091735ea0e092a805a/image_p020_t337_r005.png,"[0, 0, 1]",A standing lamp with what looks like a balloon on top,a standing lamp with what looks like a balloon on top
400,400,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/110b426397c707bdc9c869210ebfd6b0/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/9b8f6e93608fb244aec118775e1a3eb4/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/e1916a904163748e8cc413950b617e8f/image_p020_t337_r005.png,"[0, 0, 1]",One shade with three legs.,one shade with three legs
401,401,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/120f940d4c32c48df51f77a6d7299806/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/36d90198790ed82386052e834fbd2c4a/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/92bdae8c11323fc518df0876cc6aa6ac/image_p020_t337_r005.png,"[0, 0, 1]",Choose the lamp that has multiple spheres as the body.,choose the lamp that has multiple spheres as the body
402,402,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/34e4bfd2000916c6a5f9d52c12457194/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/6f984fe4627c8333752653a04e5ed7ed/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/75c15dd98de4ff17bd4bf7024dfa167d/image_p020_t337_r005.png,"[0, 0, 1]",Shade suspends from wire without chain or base.,shade suspends from wire without chain or base
403,403,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/46b8bc4b5b2a6094d46763ec4d902968/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/db447b84e1a8d8d6ba5342d638d0c267/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/169d73f18f7b17bb4a6ecce2eeb45768/image_p020_t337_r005.png,"[0, 0, 1]",three lights hang down,three lights hang down
404,404,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/9936875de81346fafcb8d8c6d4df8143/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/ea235afbbaa6fcccf32735686fcd8ec8/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1874da9ffb42f3ee990f8ee13a15ddf6/image_p020_t337_r005.png,"[0, 0, 1]","The only light source designed to be mounted on a wall. Its ""arm"" has two spiral curves in it, and the main body's cross section is a square.",the only light source designed to be mounted on a wall its arm has two spiral curves in it and the main bodys cross section is a square
405,405,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3f968096c74ee3a3b04a2e6a78ff6c49/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/67f6c0f40fc9216e8aaae3d020f5ddf8/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/266d6b136cba49504b3c42e318f3affc/image_p020_t337_r005.png,"[0, 0, 1]","Traditional lamp, with square and round base.",traditional lamp with square and round base
406,406,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/13f46d5ae3e33651efd0188089894554/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/5179edb45a24a785fbd4fd7714358815/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/ebd783f677be6825b5495e8609a528b6/image_p020_t337_r005.png,"[0, 0, 1]",Tall coned lampshade,tall coned lampshade
407,407,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/4c62e3c4f9e46d015da963e90d88cb74/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/a130ec5d53e62931d93768e7b9b1eabf/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3a5a0f4c78e17b284f0c4075db76b7c/image_p020_t337_r005.png,"[0, 0, 1]",It is a desk lamp with 2 circular bases stacked on top of them with a wire frame with a cylindrical head standing at a 90 degree angle from the base.,it is a desk lamp with 2 circular bases stacked on top of them with a wire frame with a cylindrical head standing at a 90 degree angle from the base
408,408,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/9ea81b2f43dca29c5412c66cb6f267da/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/e97ef0ba839e1e915412c66cb6f267da/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/15fc5a4a342c00525412c66cb6f267da/image_p020_t337_r005.png,"[0, 0, 1]",It has a very thin point at the bottom.,it has a very thin point at the bottom
409,409,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/176c8eee2d45e5d0535a7b6b7a43b6cd/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/5c25916b55fbe4ca29695ec09b98af5/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/bece8f6d89e653e6fcb8d8c6d4df8143/image_p020_t337_r005.png,"[0, 0, 1]",long cylinder laying down with two small flat orbs on each end,long cylinder laying down with two small flat orbs on each end
410,410,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/154c35bf29fa227df51f77a6d7299806/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/27ed76ca359d6eaffcb8d8c6d4df8143/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/933176941f95f833fcb8d8c6d4df8143/image_p020_t337_r005.png,"[0, 0, 1]",Choose the item that the surface facing you has 6 sides like a gem.,choose the item that the surface facing you has 6 sides like a gem
411,411,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2b1817fbc0f3ddbe8220566e85550c0a/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/421734c234a9ecce5c166769fb8a1974/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/cdf8043d57863c1b17b431cae0dd70ed/image_p020_t337_r005.png,"[0, 0, 1]",This is a hanging light with a circular bottom.,this is a hanging light with a circular bottom
412,412,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/199273d17414e77ca553fc23769e6051/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/c802fa4c82498450af6016f34c89d087/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/ea235afbbaa6fcccf32735686fcd8ec8/image_p020_t337_r005.png,"[0, 0, 1]",It's the most cone shaped table lamp with a huge base.,its the most cone shaped table lamp with a huge base
413,413,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1d3259fe9377ca5f899bad344dc01f2f/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/20e1e4849339e64f5077539b37310c29/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/9113ec0bd742c5c5e86e8111763264e/image_p020_t337_r005.png,"[0, 0, 1]",Three pipes bent and attached to a solid base.,three pipes bent and attached to a solid base
414,414,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/72ba0dc1fd49c2b5eef5d83b671bb264/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/ced76fc046191db3fe5c8ffd0f5eba47/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/27ed76ca359d6eaffcb8d8c6d4df8143/image_p020_t337_r005.png,"[0, 0, 1]",tall and rectangular,tall and rectangular
415,415,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/181ec75aca2de25f6dbdf247ab8522eb/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/5038edfd2c36fdc1bf1911e2d5611e35/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/292ba732e002629e68c2f5eb1dd4dfaa/image_p020_t337_r005.png,"[0, 0, 1]",standing rectangle base with wire middle and oval to,standing rectangle base with wire middle and oval to
416,416,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/11194326770b1225d49b2e04785f8492/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/9627da26edc003e7d49b2e04785f8492/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/70b78b9439a9de7530f6e0ede20c4525/image_p020_t337_r005.png,"[0, 0, 1]","Target has a skinny body, and the lamp head is projecting out instead of in, so it looks like a bowl",target has a skinny body and the lamp head is projecting out instead of in so it looks like a bowl
417,417,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/64a45d75c1c5bad6f51f77a6d7299806/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/ce879c871fe2015b4cbf9a02e3342127/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3fb06dd95ac94436f51f77a6d7299806/image_p020_t337_r005.png,"[0, 0, 1]","A tall floor lamp with a long skinny pole, square base and a triangular shade at the top.",a tall floor lamp with a long skinny pole square base and a triangular shade at the top
418,418,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/24927157e3a53c1f91cb6b6c47a03f13/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/dfb6553d8e04cbaae1263552aa9a2d35/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/390bc0018f132788fcb8d8c6d4df8143/image_p020_t337_r005.png,"[0, 0, 1]",A desk lamp with a single simple shade,a desk lamp with a single simple shade
419,419,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3977cc8807304dfc5adb3ef1dbe9e3b3/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/b4aeed70a21518fefcb8d8c6d4df8143/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/356224e2ce466b551218479e9cbf7bda/image_p020_t337_r005.png,"[0, 0, 1]",a tall floor lamp with four square lampshades,a tall floor lamp with four square lampshades
420,420,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/39439a41656f7d50d42b9650f19dd425/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/5bb0ad1e0c9432b2dc6493177a28df03/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/a2316a225facd3114f3443b22038d340/image_p020_t337_r005.png,"[0, 0, 1]",a ceiling light fixture with a bell-shaped globe,a ceiling light fixture with a bellshaped globe
421,421,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/284986b4c72d624abd73284bc3c3cbac/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/5383c9b60d5b66a2d22730b0728b2fc9/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/c9b4209f1a7e97cb90a9ce3e4b15521e/image_p020_t337_r005.png,"[0, 0, 1]","It has only one shade, and has the diamond looking design under it, like the one with the two shades has.",it has only one shade and has the diamond looking design under it like the one with the two shades has
422,422,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/20d36ce3148091c5764b5e62529f6d7e/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/379b2a19deff9954f51f77a6d7299806/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/c52af321a31d28a2e95e8a5faf311c2/image_p020_t337_r005.png,"[0, 0, 1]",the lamp shade is pleated,the lamp shade is pleated
423,423,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/280fa01686e780ba3501c961e91ff6d7/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/c7b77a991430bf08b8812f80908a0273/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/5f3f11372141da8def0b2fc3511b6fbd/image_p020_t337_r005.png,"[0, 0, 1]",a floor lamp with a curved stand and a wide lamp shade,a floor lamp with a curved stand and a wide lamp shade
424,424,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/414d4397dddc0134fcb8d8c6d4df8143/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/923c324c530e9fc412060d1ff2024b3/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/5493cc3e023e9e6ffcb8d8c6d4df8143/image_p020_t337_r005.png,"[0, 0, 1]",The light that is missing the shade on the bottom and it not a peg with a half cylinder on top.,the light that is missing the shade on the bottom and it not a peg with a half cylinder on top
425,425,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/20c9d1713fbc0925c35131da26f8061a/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/4ffb03a364a13c376b41b8bcd0404ec/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/15e38eb29fb84898e7e684d25d4dcaf0/image_p020_t337_r005.png,"[0, 0, 1]",Lamp post with spherical components,lamp post with spherical components
426,426,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/20e1e4849339e64f5077539b37310c29/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/9113ec0bd742c5c5e86e8111763264e/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/1d3259fe9377ca5f899bad344dc01f2f/image_p020_t337_r005.png,"[0, 0, 1]",A tall standing lamp with three lights,a tall standing lamp with three lights
427,427,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/34ce1de178694f87e76bc197b3a3ffc0/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/627ed898c49543594c64af119029e57c/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/2a3267758a3caeb7cf353869450feb9a/image_p020_t337_r005.png,"[0, 0, 1]",A desk lamp with a bendy post,a desk lamp with a bendy post
428,428,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/3101d2b22e21297ccff8db9efabb6c62/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/427806f30c61059c22e05b5d2ce39e3b/image_p020_t337_r005.png,https://s3-us-west-1.amazonaws.com/geoglot/resources/images/non_chairs/shape_net/lamp/a3ff2bc2ac65bf093aa7852a81a014bb/image_p020_t337_r005.png,"[0, 0, 1]",This object has three like lights in a row they are circles,this object has three like lights in a row they are circles
